crop;name;Lini;Ldev;Lmid;Lend;Kini;Kmax;Kend;Zini;Zend;p_ini;p_mid;p_end;Yini;Ydev;Ymid;Yend;Ytot;h;sowing_date;Source
FAO-ALFALFA0;ALFALFA-perennial;150;30;150;35;0,4;0,95;0,9;1,2;1,2;0,55;0,55;0,55;1;1;1;1;1;0,7;NA;CW_preparametred
FAO-ALFALFA1;ALFALFA 1 year;10;30;150;35;0,4;0,95;0,4;1,2;1,2;0,55;0,55;0,55;1;1;1;1;1;0,7;NA;CW_preparametred
FAO-ARTICHOK;Artichoke;40;40;250;30;0,5;1;0,95;0,25;0,9;0,4;0,45;0,45;0,6;0,6;0,4;1;0,8;0,7;NA;CW_preparametred
FAO-BANANA1;BANANA 1st year;90;165;45;30;0,5;1,1;1;0,3;0,9;0,55;0,45;0,45;1;1;1;1;1;3;NA;CW_preparametred
FAO-BANANA2;BANANA 2nd year;60;60;75;45;1;1,2;1,1;0,9;0,9;0,55;0,45;0,45;1;1;1;1;1;4;NA;CW_preparametred
FAO-BARLEY;Barley;15;25;50;30;0,3;1,15;0,25;0,3;1,1;0,55;0,55;0,9;0,2;0,6;0,5;0,4;1;1;NA;CW_preparametred
FAO-BEANS-DR;Dry beans;20;30;40;20;0,4;1,15;0,35;0,3;0,9;0,45;0,45;0,6;0,2;0,6;1;0,2;1,15;0,4;NA;CW_preparametred
FAO-BEANS-GR;Green beans;20;30;30;10;0,5;1,05;0,9;0,3;0,7;0,45;0,45;0,6;0,2;1,1;0,75;0,4;1,15;0,4;NA;CW_preparametred
FAO-CABBAGE;CABBAGE Crucifers;40;60;50;15;0,7;1,05;0,95;0,25;0,5;0,45;0,45;0,45;0,2;0,4;0,45;0,6;0,95;0,4;NA;CW_preparametred
FAO-CITRUS;CITRUS 70% ca bare;60;90;120;95;0,7;0,65;0,7;1,4;1,4;0,5;0,5;0,5;1;1;1;1;1;4;NA;CW_preparametred
FAO-COTTON;COTTON;30;50;60;55;0,35;1,2;0,6;0,3;1,4;0,65;0,65;0,9;0,2;0,5;0,5;0,25;0,85;1,3;NA;CW_preparametred
FAO-DATEPALM;Date palms;140;30;150;45;0,9;0,95;0,95;2;2;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,8;8;NA;CW_preparametred
FAO-GRAINS;Small Grains;25;35;65;40;0,3;1,1;0,3;0,3;1,2;0,5;0,6;0,7;0,4;0,6;1,25;0,8;1;1;NA;CW_preparametred
FAO-GRAPES-T;table grapes;150;50;125;40;0,3;0,85;0,45;1,5;1,5;0,35;0,35;0,35;0,2;0,7;0,85;0,4;0,85;1,5;NA;CW_preparametred
FAO-GRAPES-W;Wine grapes;150;50;125;40;0,3;0,7;0,45;1,5;1,5;0,45;0,45;0,45;0,2;0,7;0,85;0,4;0,85;1,8;NA;CW_preparametred
FAO-GRASS-C;Turf grass cool cl;150;40;130;45;0,9;0,95;0,95;0,5;0,5;0,4;0,4;0,4;1;1;1;1;1;0,1;NA;CW_preparametred
FAO-GRASS-W;Turf grass warm;150;40;130;45;0,8;0,85;0,85;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;0,1;NA;CW_preparametred
FAO-GRONDNUT;Groudnut;25;35;45;25;0,4;1,15;0,6;0,3;0,8;0,45;0,45;0,5;0,2;0,8;0,6;0,2;0,7;0,4;NA;CW_preparametred
FAO-MAIZE;MAIZE  (Grain);20;35;40;30;0,3;1,2;0,35;0,3;1;0,55;0,55;0,8;0,4;0,4;1,3;0,5;1,25;2;NA;CW_preparametred
FAO-MANGO;MANGO;90;90;90;95;0,9;1,1;0,9;2;2;0,6;0,6;0,6;0,8;0,8;0,8;0,8;0,8;6;NA;CW_preparametred
FAO-MILLET;MILLET;15;25;40;25;0,3;1;0,3;0,3;1,2;0,5;0,6;0,7;0,4;0,6;1,25;0,8;1;1,5;NA;CW_preparametred
FAO-PASTURE;Pasture perennial;140;60;120;45;0,85;0,95;0,85;0,8;0,8;0,5;0,5;0,5;0,8;0,8;0,8;0,8;0,8;0,2;NA;CW_preparametred
FAO-PEPPER;Sweet Peppers;30;35;40;20;0,6;1,05;0,9;0,25;0,8;0,2;0,3;0,5;1,4;0,6;1,2;0,6;1,1;0,7;NA;CW_preparametred
FAO-POTATO;Potato;25;30;45;30;0,5;1,15;0,75;0,3;0,6;0,25;0,3;0,5;0,45;0,8;0,8;0,3;1,1;0,6;NA;CW_preparametred
FAO-PULSES;Pulses;20;30;40;20;0,4;1,15;0,35;0,3;1;0,6;0,6;0,8;0,4;0,6;0,8;0,6;0,8;0,4;NA;CW_preparametred
FAO-SORGHUM;SORGHUM (Grain);20;35;40;30;0,3;1;0,55;0,3;1,4;0,6;0,5;0,8;0,2;0,4;0,55;0,2;0,9;1,5;NA;CW_preparametred
FAO-SOYBEAN;Soybean;15;15;40;15;0,4;1,15;0,5;0,3;1;0,5;0,6;0,9;0,4;0,8;1;0,4;0,85;0,6;NA;CW_preparametred
